employee_id;employee_name;gender;date_of_birth;email;phone;department;designation;city;state;join_date;salary;employment_status
1;Dev Kumer           ;Female;1973-01-30;esengupta@example.net        ;3170669074;Operations;Analyst  ;Gudivada                    ;Bihar            ;2023-10-04;951729;On Leave
2;Anthony Bal         ;Male  ;2001-11-25;rajtarak@example.com         ;837783533;IT        ;Executive;Ramagundam                  ;Andhra Pradesh   ;2024-08-06;1061626;On Leave
3;Quincy Minhas       ;Male  ;1973-04-14;xiti68@example.net           ;914497869073;Admin     ;Executive;Vijayanagaram               ;Sikkim           ;2022-07-12;979463;Active  
4;Kavya Chadha        ;Male  ;1994-12-06;gademaya@example.com         ;704999622;Admin     ;Engineer ;Ahmedabad                   ;Tripura          ;2022-10-02;1089019;Resigned
5;Nidhi Varkey        ;Female;1988-06-15;tripti48@example.net         ;682883607;HR        ;Engineer ;Jehanabad                   ;Nagaland         ;2022-10-03;790315;Resigned
6;Vedhika Parikh      ;Male  ;1993-04-05;aarav88@example.net          ;5790328921;Admin     ;Engineer ;Patna                       ;Uttarakhand      ;2021-08-27;561293;On Leave
7;Anay Sethi          ;Male  ;1966-01-18;zaid41@example.net           ;915412248244;Operations;Manager  ;Pondicherry                 ;Meghalaya        ;2025-01-31;685450;On Leave
8;Arjun Muni          ;Female;1991-05-13;oviya34@example.org          ;8396030620;Admin     ;Manager  ;Amroha                      ;Tamil Nadu       ;2025-05-13;1140790;Active  
9;Thomas Varty        ;Female;1995-09-27;azaanrana@example.net        ;5604230411;IT        ;Engineer ;Bihar Sharif                ;Telangana        ;2022-05-27;1008244;Resigned
10;Zayyan De           ;Male  ;1965-08-20;kallatriveni@example.org     ;9806351396;Admin     ;Manager  ;Kumbakonam                  ;Bihar            ;2024-05-16;337223;Resigned
11;Yamini Tata         ;Male  ;1966-03-25;                             ;915925634168;Finance   ;Executive;Deoghar                     ;Meghalaya        ;2025-08-02;437832;Resigned
12;Dhruv Baria         ;Male  ;1970-10-27;omkaarganesan@example.net    ;914598455514;Admin     ;Engineer ;Mahbubnagar                 ;Tripura          ;2025-03-19;316398;Resigned
13;Hemang Nagi         ;Female;1967-09-21;ybora@example.org            ;915199619839;IT        ;Executive;Shimoga                     ;Kerala           ;2023-07-28;662771;Active  
14;Tanvi Malhotra      ;Female;1972-05-22;merchantadvik@example.net    ;161033962;Operations;Analyst  ;Hospet                      ;Goa              ;2023-02-10;849063;Resigned
15;Harshil Saran       ;Female;1990-10-20;                             ;915000495765;IT        ;Analyst  ;Rajkot                      ;Assam            ;2023-10-03;584171;Resigned
16;Isaac Krishna       ;Male  ;1979-09-14;qparekh@example.org          ;3433514171;Operations;Manager  ;Ambattur                    ;Madhya Pradesh   ;2023-09-01;619133;On Leave
17;Falak Grover        ;Female;1986-08-12;yatan51@example.net          ;9913303614;Finance   ;Manager  ;Aurangabad                  ;Andhra Pradesh   ;2021-02-20;915294;On Leave
18;Jagrati Tak         ;Female;1996-12-17;harrisonthaker@example.com   ;918222254189;HR        ;Analyst  ;Cuttack                     ;Gujarat          ;2022-04-06;462864;Resigned
19;Diya Jha            ;Female;1977-03-08;rachita82@example.org        ;3417684878;HR        ;Engineer ;Hyderabad                   ;Madhya Pradesh   ;2023-12-09;521178;Active  
20;Aarna Sunder        ;Female;1966-09-20;dbahl@example.net            ;9292244696;Admin     ;Executive;Pudukkottai                 ;Assam            ;2023-01-16;492825;Resigned
21;Abhimanyu Goel      ;Female;2001-01-13;xiti73@example.org           ;7736589430;Admin     ;Engineer ;Sasaram                     ;Rajasthan        ;2024-03-11;565671;Active  
22;Yasti Jani          ;Female;1986-04-11;                             ;7911989622;Finance   ;Engineer ;Purnia                      ;Gujarat          ;2025-11-25;670221;Resigned
23;Warda Ramesh        ;Female;1988-09-27;kvarma@example.net           ;814141291;HR        ;Analyst  ;New Delhi                   ;West Bengal      ;2024-04-22;1069546;Active  
24;Mekhala Gala        ;Female;1987-03-17;ndate@example.com            ;911698614436;IT        ;Manager  ;Jhansi                      ;Mizoram          ;2024-10-15;488876;Resigned
25;Azaan Kibe          ;Male  ;1982-10-12;oscarmane@example.org        ;3449472857;IT        ;Executive;Bhilai                      ;Tripura          ;2022-11-01;427114;Resigned
26;Samarth Mander      ;Female;1972-06-01;dalalagastya@example.net     ;2185946858;Operations;Analyst  ;Mumbai                      ;Bihar            ;2024-10-26;775861;Active  
27;Inaya Mody          ;Female;2001-10-04;ynori@example.net            ;9716638049;Operations;Manager  ;Surendranagar Dudhrej       ;Punjab           ;2025-06-14;960719;Resigned
28;Dalaja Garde        ;Female;1995-08-22;jagvivora@example.org        ;6966599173;IT        ;Executive;Jaipur                      ;Maharashtra      ;2022-05-20;967452;Active  
