transaction_id;employee_id;transaction_type;amount;payment_mode;bank_name;account_number;transaction_date;transaction_status
1;1;Salary       ;125842;UPI          ;Union Bank of India     ;UZOE2382639830750;2025-12-03;Failed 
2;1;Salary       ;125095;Bank Transfer;Bank of Maharashtra     ;CBOG4088092952729;2023-07-04;Failed 
3;1;Claim_Payout ;25964;Cash         ;                        ;                 ;2023-02-12;Pending
4;2;Salary       ;101388;Cash         ;                        ;                 ;2023-08-24;Failed 
5;2;Reimbursement;67317;Bank Transfer;Jammu & Kashmir Bank    ;KVHS0900674137477;2026-01-15;Pending
6;2;Claim_Payout ;24641;Cash         ;                        ;                 ;2023-02-27;Failed 
7;2;Claim_Payout ;129018;Bank Transfer;Karur Vysya Bank        ;JHOD3392298908806;2024-12-05;Pending
8;3;Claim_Payout ;109146;UPI          ;Federal Bank            ;MSJK2037832524665;2023-05-13;Pending
9;3;Salary       ;120780;Bank Transfer;Tamilnad Mercantile Bank;GXOL9762259107680;2025-07-06;Failed 
10;4;Claim_Payout ;31583;Cash         ;                        ;                 ;2024-04-18;Failed 
11;4;Claim_Payout ;88959;UPI          ;Jammu & Kashmir Bank    ;SERU5234978972688;2025-12-30;Pending
12;5;Claim_Payout ;35961;UPI          ;IDBI Bank               ;TAKK8354542217293;2024-10-03;Failed 
13;5;Claim_Payout ;139356;UPI          ;UCO Bank                ;YAXQ3713170117785;2024-05-01;Pending
14;5;Reimbursement;61171;Bank Transfer;Canara Bank             ;ARBW9370354927862;2023-06-25;Failed 
15;5;Claim_Payout ;118766;Bank Transfer;Tamilnad Mercantile Bank;UMKY2814814149719;2025-10-23;Pending
16;6;Reimbursement;112373;UPI          ;Axis Bank               ;TMQT0075414435546;2024-06-30;Failed 
17;6;Claim_Payout ;59926;Bank Transfer;IDBI Bank               ;PYLW7682933449724;2025-09-20;Failed 
18;6;Salary       ;93849;Cash         ;                        ;                 ;2024-06-20;Pending
19;7;Claim_Payout ;24651;Bank Transfer;Indian Bank             ;EWEG4673737475417;2024-05-24;Success
20;7;Reimbursement;108055;UPI          ;ICICI Bank              ;QLAV1985757085636;2023-12-05;Success
21;7;Claim_Payout ;12303;UPI          ;IndusInd Bank           ;QVBL4520948650926;2023-03-25;Pending
22;8;Reimbursement;12630;UPI          ;HDFC Bank               ;WEMM7256846184640;2023-05-19;Success
23;8;Salary       ;31462;Cash         ;                        ;                 ;2024-12-17;Failed 
24;9;Reimbursement;15996;UPI          ;State Bank of India     ;DYSF5288294905499;2024-03-31;Failed 
25;9;Salary       ;71913;UPI          ;Indian Bank             ;NIXC2579923166904;2025-04-07;Success
26;10;Salary       ;51852;Bank Transfer;South Indian Bank       ;EUBT4690770868895;2025-12-20;Success
27;10;Salary       ;106929;UPI          ;UCO Bank                ;SQOK8886784202742;2023-04-26;Success
28;10;Salary       ;91386;UPI          ;Central Bank of India   ;BMHO6419195560032;2025-06-06;Failed 
