transaction_id,employee_id,transaction_type,amount,payment_mode,bank_name,account_number,transaction_date,transaction_status
1,1,Claim_Payout,16856,UPI,Karur Vysya Bank,OYHO9462110047276,2024-05-23,Success
2,1,Claim_Payout,120254,Cash,,,2024-02-03,Pending
3,2,Claim_Payout,71969,UPI,Indian Bank,CKBO4081136636510,2025-11-18,Failed
4,2,Reimbursement,59595,UPI,Canara Bank,SOUO8140510433923,2024-09-04,Pending
5,2,Claim_Payout,118721,UPI,Union Bank of India,WGNJ4579809216863,2024-09-01,Failed
6,2,Salary,22183,Cash,,,2025-12-17,Pending
7,3,Salary,149416,Cash,,,2025-11-04,Pending
8,3,Salary,136414,Bank Transfer,Federal Bank,ETAB6155656336212,2025-11-26,Pending
9,4,Reimbursement,37847,UPI,IndusInd Bank,SXAB0059980669869,2025-03-29,Pending
10,4,Reimbursement,61003,UPI,Karur Vysya Bank,OFXB2056327363326,2025-12-27,Pending
11,4,Reimbursement,80133,Bank Transfer,Bank of India,BEUE7052267704376,2025-03-25,Success
12,4,Salary,149049,Bank Transfer,City Union Bank,VKHJ1420602626278,2024-02-15,Success
13,5,Claim_Payout,44823,UPI,IDBI Bank,YXVS1689858337907,2025-06-09,Pending
14,5,Reimbursement,54384,UPI,IDFC First Bank,MKGF8210015639644,2023-08-23,Failed
15,6,Salary,65145,UPI,Dhanlaxmi Bank,QDJJ3939444961244,2024-06-06,Success
16,6,Reimbursement,136482,UPI,DCB Bank,MHFR0957972721590,2025-04-19,Pending
17,6,Salary,65019,Bank Transfer,Axis Bank,UXTS0123180144579,2025-03-02,Pending
18,7,Claim_Payout,138298,UPI,IDBI Bank,ILDC5700381249528,2025-02-06,Success
19,7,Salary,22891,Cash,,,2024-07-31,Pending
20,7,Claim_Payout,82210,UPI,CSB Bank,HIXX2917053783011,2024-04-10,Success
21,8,Reimbursement,98898,Bank Transfer,HDFC Bank,UFJB6464362113439,2023-02-03,Success
22,8,Salary,94677,Cash,,,2025-09-29,Failed
23,9,Claim_Payout,137165,Bank Transfer,Dhanlaxmi Bank,IMYX7198490291021,2024-03-27,Pending
24,9,Claim_Payout,80116,Bank Transfer,Axis Bank,AQJL8850453640951,2025-07-31,Success
25,10,Claim_Payout,109921,UPI,Bank of Baroda,PXRN8926541848565,2025-06-18,Failed
26,10,Reimbursement,115444,Cash,,,2025-09-29,Failed
27,11,Reimbursement,13767,UPI,Nainital Bank,CIBE3808300798346,2023-04-21,Success
28,11,Claim_Payout,73771,Bank Transfer,Dhanlaxmi Bank,DHGC3399762374827,2023-07-07,Failed
29,11,Claim_Payout,89863,Cash,,,2025-06-14,Pending
30,12,Reimbursement,136192,Bank Transfer,IDFC First Bank,AXML3234045614872,2023-08-20,Success
31,12,Salary,40234,UPI,Bank of India,XITO0967364200317,2023-10-27,Pending
32,12,Claim_Payout,24097,UPI,Kotak Mahindra Bank,QNZA0040783079098,2023-02-18,Failed
33,13,Claim_Payout,103039,UPI,Canara Bank,EQNB6392942952879,2023-11-09,Success
34,13,Claim_Payout,49785,UPI,City Union Bank,FOLO0430458925733,2024-01-28,Failed
35,13,Claim_Payout,10690,Bank Transfer,Axis Bank,ZXLG4360111316987,2023-12-26,Success
36,14,Claim_Payout,23079,Bank Transfer,IDBI Bank,RRHQ5567098129626,2023-05-26,Pending
37,14,Salary,94045,Cash,,,2025-04-19,Success
38,14,Salary,34818,Cash,,,2023-07-23,Pending
39,15,Claim_Payout,125704,Bank Transfer,Bank of Baroda,WXFF9427100926901,2024-05-08,Pending
40,15,Reimbursement,94725,Cash,,,2025-05-17,Failed
41,15,Reimbursement,55291,Bank Transfer,City Union Bank,ZRLO8137557714958,2025-11-30,Pending
42,16,Salary,51531,Cash,,,2026-01-15,Pending
43,16,Claim_Payout,149452,Cash,,,2023-09-27,Pending
44,17,Claim_Payout,12363,Bank Transfer,Bank of Baroda,USPM0019163663742,2024-02-10,Pending
45,17,Claim_Payout,132371,UPI,IndusInd Bank,NMQV3260340625787,2023-02-09,Success
46,17,Claim_Payout,84771,Cash,,,2023-07-15,Pending
47,17,Reimbursement,39827,Bank Transfer,Federal Bank,GNCG2416711134084,2025-09-10,Failed
48,18,Reimbursement,119911,Bank Transfer,Punjab and Sind Bank,PVIS1785398704900,2023-01-25,Failed
49,18,Claim_Payout,62657,UPI,Indian Bank,HEOG3317236453915,2025-11-16,Failed
50,19,Claim_Payout,73849,Bank Transfer,Dhanlaxmi Bank,NAID4668688439575,2024-05-20,Failed
51,19,Claim_Payout,26862,Cash,,,2023-12-04,Pending
52,19,Salary,128956,Bank Transfer,ICICI Bank,BANE8367569089155,2024-08-25,Success
53,19,Salary,102220,UPI,Karnataka Bank,AFRP3959238876086,2025-08-15,Pending
