transaction_id,employee_id,transaction_type,amount,payment_mode,bank_name,account_number,transaction_date,transaction_status
1,1,Salary,75450,Bank Transfer,City Union Bank,XOWS9763593589295,2023-12-24,Failed
2,1,Salary,82613,UPI,Dhanlaxmi Bank,LSKL7056673361345,2024-11-06,Failed
3,1,Reimbursement,132585,Cash,,,2024-06-27,Failed
4,2,Reimbursement,27336,UPI,Dhanlaxmi Bank,APSZ8157227452146,2023-07-06,Failed
5,2,Salary,133995,Cash,,,2025-07-01,Pending
6,3,Claim_Payout,149694,Cash,,,2024-08-14,Success
7,3,Claim_Payout,14577,UPI,Karnataka Bank,KVFL9900594941467,2026-01-07,Failed
8,3,Salary,106689,Cash,,,2023-06-21,Pending
9,3,Claim_Payout,55188,UPI,Kotak Mahindra Bank,YHIV7130122308251,2024-02-02,Failed
10,4,Claim_Payout,128285,UPI,Punjab and Sind Bank,ZLTS9108589554784,2023-05-25,Failed
11,4,Salary,58688,Cash,,,2023-12-26,Pending
12,4,Salary,20527,Cash,,,2025-07-25,Pending
13,5,Claim_Payout,130086,Bank Transfer,South Indian Bank,BJEH8613486646136,2023-03-29,Success
14,5,Claim_Payout,34306,Bank Transfer,Axis Bank,GQQP9776148674889,2024-08-19,Failed
15,5,Reimbursement,93808,UPI,IDBI Bank,DPNW1087713367318,2024-08-19,Failed
16,6,Salary,37984,UPI,Bank of Baroda,ZIBG1727773160529,2023-07-28,Success
17,6,Reimbursement,121202,Bank Transfer,Bank of India,DZCT0794764355117,2025-03-11,Success
18,6,Salary,26198,Bank Transfer,Indian Overseas Bank,HBPS3519504738413,2023-05-15,Success
19,6,Salary,54708,UPI,HDFC Bank,TPHN7620612750977,2025-10-19,Failed
20,7,Claim_Payout,50414,UPI,Tamilnad Mercantile Bank,FWEP2739688618335,2025-11-29,Success
21,7,Salary,142011,Cash,,,2024-01-02,Failed
22,8,Claim_Payout,27409,UPI,Federal Bank,VZPJ8466457796673,2023-11-18,Pending
23,8,Salary,125650,Cash,,,2023-11-08,Pending
24,9,Reimbursement,90562,UPI,Bandhan Bank,ZLGO6890643178874,2025-04-02,Success
25,9,Claim_Payout,58719,Bank Transfer,State Bank of India,QGLP6447964202653,2024-02-01,Failed
26,10,Salary,135275,Bank Transfer,Dhanlaxmi Bank,HMXH0197975667355,2023-04-23,Success
27,10,Claim_Payout,10424,Bank Transfer,Tamilnad Mercantile Bank,LFVV3577036455225,2024-10-25,Success
28,10,Reimbursement,72834,Bank Transfer,Nainital Bank,AMUQ6676026485505,2024-01-13,Pending
29,11,Reimbursement,146295,UPI,Bank of India,RYXU0980264902789,2026-01-20,Pending
30,11,Reimbursement,74728,Cash,,,2023-06-23,Pending
31,11,Reimbursement,141435,Bank Transfer,Tamilnad Mercantile Bank,HEZR9733883458510,2025-03-31,Success
32,12,Claim_Payout,132680,UPI,HDFC Bank,MRNX9096710420651,2025-05-15,Success
33,12,Reimbursement,36009,Bank Transfer,State Bank of India,YYEL3490298651880,2025-11-23,Success
34,12,Claim_Payout,49226,Cash,,,2024-03-31,Success
35,13,Salary,122674,Cash,,,2023-12-06,Pending
36,13,Salary,51114,UPI,Indian Overseas Bank,QQRD9881678105861,2023-09-28,Success
37,13,Salary,147645,Cash,,,2024-03-22,Success
38,13,Claim_Payout,121170,UPI,Karnataka Bank,QMSM9843400194493,2024-06-02,Failed
39,14,Claim_Payout,78438,Cash,,,2025-02-16,Failed
40,14,Claim_Payout,98760,Bank Transfer,Federal Bank,AXED8623375006739,2025-12-30,Failed
41,14,Claim_Payout,75072,Cash,,,2023-06-19,Success
42,15,Salary,142208,Bank Transfer,Bank of India,BMID2187781030222,2025-02-08,Success
43,15,Claim_Payout,121235,UPI,IDFC First Bank,XVTF8313819890357,2025-05-04,Failed
44,15,Claim_Payout,62737,Cash,,,2023-06-15,Pending
45,15,Reimbursement,71327,Bank Transfer,State Bank of India,WRKI2331873221253,2024-03-07,Pending
46,16,Reimbursement,111858,Bank Transfer,RBL Bank,NYWD8500278406129,2024-09-21,Success
47,16,Reimbursement,47165,Cash,,,2024-10-09,Success
48,16,Claim_Payout,84457,Cash,,,2025-03-22,Success
49,16,Claim_Payout,100960,Cash,,,2025-05-26,Pending
50,17,Claim_Payout,108353,Bank Transfer,DCB Bank,WTAG2778940537141,2023-03-10,Success
51,17,Reimbursement,141197,UPI,Punjab and Sind Bank,LQCQ7749933893885,2023-12-16,Pending
52,17,Claim_Payout,17279,Bank Transfer,Bank of India,WWBH4378036337991,2023-05-18,Success
53,17,Reimbursement,119672,Bank Transfer,Bank of India,DJTW1413845845194,2025-09-06,Success
54,18,Reimbursement,88675,Bank Transfer,Karur Vysya Bank,NANP1708283536419,2024-06-23,Pending
55,18,Claim_Payout,30876,UPI,ICICI Bank,TLFM4358531206148,2023-12-22,Failed
56,19,Salary,17097,Bank Transfer,Tamilnad Mercantile Bank,ZYIS1532533379659,2023-04-02,Failed
57,19,Salary,61044,UPI,Bank of Maharashtra,TEKP0566901280826,2024-10-27,Failed
58,19,Claim_Payout,62723,Bank Transfer,HDFC Bank,RVTU0123824674185,2024-05-23,Pending
59,20,Reimbursement,111166,UPI,Punjab National Bank,DXLS6727164010197,2023-10-18,Pending
60,20,Claim_Payout,54000,Cash,,,2024-09-05,Pending
61,21,Reimbursement,135816,Bank Transfer,IndusInd Bank,NWQQ4198944755965,2025-05-25,Pending
62,21,Reimbursement,38367,Cash,,,2023-10-30,Failed
63,21,Salary,51825,Bank Transfer,UCO Bank,BWTM3388838134268,2023-06-24,Failed
64,22,Salary,40603,Bank Transfer,Canara Bank,UXPW1762391285669,2025-03-30,Pending
65,22,Claim_Payout,11532,Bank Transfer,IndusInd Bank,XSZI1687394964623,2023-02-03,Success
66,22,Reimbursement,71737,Cash,,,2023-12-16,Pending
67,23,Claim_Payout,103837,Bank Transfer,Federal Bank,SYVP8138104320597,2024-05-24,Pending
68,23,Claim_Payout,70211,Bank Transfer,Bank of Maharashtra,YKGS3703486091728,2023-06-27,Success
69,24,Claim_Payout,121671,Cash,,,2025-05-19,Failed
70,24,Salary,118456,UPI,Canara Bank,MDXP1092476012229,2023-01-27,Success
71,24,Reimbursement,97274,Cash,,,2024-12-11,Success
72,25,Reimbursement,106432,Cash,,,2023-08-15,Success
73,25,Reimbursement,96273,Bank Transfer,Bandhan Bank,AKOV0491071888781,2024-04-01,Success
74,25,Claim_Payout,109009,Bank Transfer,Nainital Bank,LUXU8449687286501,2025-12-28,Pending
75,25,Claim_Payout,141714,UPI,Dhanlaxmi Bank,GBTD2772086650599,2023-02-15,Pending
76,26,Claim_Payout,59476,Cash,,,2024-12-05,Failed
77,26,Reimbursement,33856,Cash,,,2025-09-20,Failed
78,27,Reimbursement,34778,Bank Transfer,IDBI Bank,FNCG6491316244417,2024-01-14,Success
79,27,Reimbursement,99700,Cash,,,2023-11-28,Success
80,27,Reimbursement,84930,UPI,UCO Bank,XZZB7307846505026,2023-04-01,Failed
81,28,Salary,64343,Bank Transfer,IDBI Bank,JKCM6123105241220,2025-09-20,Success
82,28,Salary,135599,Cash,,,2024-01-02,Failed
83,28,Claim_Payout,47805,UPI,Federal Bank,JPMH3683557863073,2023-04-20,Pending
84,29,Claim_Payout,19157,Cash,,,2025-01-17,Failed
85,29,Reimbursement,108640,UPI,Bank of Baroda,QVHJ2652583974444,2025-03-24,Success
86,29,Claim_Payout,11654,Bank Transfer,DCB Bank,BVOQ4370977156316,2025-08-06,Failed
87,30,Claim_Payout,140754,Bank Transfer,Central Bank of India,JWEI7300950895071,2024-12-05,Success
88,30,Salary,73077,UPI,Punjab and Sind Bank,SWAV5517493156382,2024-10-26,Success
89,30,Reimbursement,108682,UPI,DCB Bank,EXFC6411021224946,2024-07-19,Success
90,30,Reimbursement,91383,Bank Transfer,Bank of Maharashtra,SQQG8347282699174,2023-03-30,Failed
91,31,Reimbursement,45307,Cash,,,2025-12-13,Pending
92,31,Claim_Payout,48869,UPI,Yes Bank,RLWL9540662860244,2023-05-18,Pending
93,32,Reimbursement,126055,UPI,Kotak Mahindra Bank,PJHF7432828242496,2024-10-28,Pending
94,32,Salary,100940,Cash,,,2025-12-13,Failed
95,32,Reimbursement,26932,Bank Transfer,Dhanlaxmi Bank,IWRF5653408283163,2023-05-16,Pending
96,33,Claim_Payout,27648,Bank Transfer,Tamilnad Mercantile Bank,HMKU4950288310476,2025-10-19,Pending
97,33,Reimbursement,50678,Bank Transfer,Tamilnad Mercantile Bank,JPSV9625194033766,2024-09-03,Pending
98,33,Claim_Payout,56110,Bank Transfer,DCB Bank,PJZV4190323435010,2023-04-08,Failed
99,33,Claim_Payout,136536,UPI,Bandhan Bank,ZYHX1999478949960,2025-02-07,Failed
100,34,Reimbursement,54265,Cash,,,2023-12-30,Pending
101,34,Salary,145130,Cash,,,2024-11-04,Success
102,35,Reimbursement,129831,Bank Transfer,Jammu & Kashmir Bank,AOQI9518128904418,2023-06-16,Failed
103,35,Claim_Payout,44760,Cash,,,2025-03-26,Failed
104,36,Salary,77596,UPI,Yes Bank,TCVR2059306149955,2024-09-26,Failed
105,36,Salary,77627,Bank Transfer,Yes Bank,RRYZ2703524786671,2025-08-18,Failed
106,36,Salary,83405,Cash,,,2025-04-04,Success
107,36,Salary,44970,Bank Transfer,Jammu & Kashmir Bank,KZJM1681889142797,2024-02-28,Failed
108,37,Claim_Payout,111780,Cash,,,2023-04-04,Pending
109,37,Claim_Payout,131726,Bank Transfer,Nainital Bank,JWDL1073794361747,2025-09-25,Failed
110,38,Claim_Payout,46838,Cash,,,2023-11-30,Success
111,38,Salary,17673,UPI,DCB Bank,JFMX2731099769880,2024-12-15,Failed
112,39,Claim_Payout,16691,UPI,Axis Bank,JFUR5677504305837,2024-01-10,Pending
113,39,Salary,72678,Cash,,,2026-01-23,Failed
114,40,Claim_Payout,23714,UPI,Karur Vysya Bank,DNUR9986118107952,2024-08-22,Pending
115,40,Reimbursement,18744,Bank Transfer,HDFC Bank,HIHU1264988174168,2025-06-12,Pending
116,40,Claim_Payout,114702,UPI,Punjab and Sind Bank,RJFH6112969576003,2025-07-16,Failed
117,41,Salary,81733,Cash,,,2023-12-01,Pending
118,41,Salary,68560,Bank Transfer,ICICI Bank,CKWQ5178437693709,2025-12-14,Failed
119,41,Reimbursement,43796,Cash,,,2023-01-29,Pending
120,42,Claim_Payout,122188,Bank Transfer,Union Bank of India,LADU1280848387341,2024-05-30,Failed
