employee_id;employee_name;gender;date_of_birth;email;phone;department;designation;city;state;join_date;salary;employment_status
1;Dev Kumer           ;Female;1973-02-04;                             ;3170669074;Operations;Executive;Gudivada                    ;Bihar            ;2023-10-09;871473;Resigned
2;Anthony Bal         ;Male  ;2001-11-30;rajtarak@example.com         ;837783533;Finance   ;Engineer ;Ramagundam                  ;Andhra Pradesh   ;2024-08-11;412060;Resigned
3;Quincy Minhas       ;Female;1973-04-19;                             ;914497869073;Operations;Engineer ;Vijayanagaram               ;Sikkim           ;2022-07-17;461210;On Leave
4;Kavya Chadha        ;Female;1994-12-11;gademaya@example.com         ;704999622;HR        ;Manager  ;Ahmedabad                   ;Tripura          ;2022-10-07;1079821;On Leave
5;Nidhi Varkey        ;Male  ;1988-06-20;tripti48@example.net         ;682883607;IT        ;Manager  ;Jehanabad                   ;Nagaland         ;2022-10-08;845436;Active  
6;Vedhika Parikh      ;Male  ;1993-04-10;aarav88@example.net          ;5790328921;Operations;Manager  ;Patna                       ;Uttarakhand      ;2021-09-01;372731;Resigned
7;Anay Sethi          ;Male  ;1966-01-23;zaid41@example.net           ;915412248244;Finance   ;Analyst  ;Pondicherry                 ;Meghalaya        ;2025-02-05;938765;Resigned
8;Arjun Muni          ;Male  ;1991-05-18;oviya34@example.org          ;8396030620;Operations;Engineer ;Amroha                      ;Tamil Nadu       ;2025-05-18;787197;Resigned
9;Thomas Varty        ;Female;1995-10-02;azaanrana@example.net        ;5604230411;IT        ;Analyst  ;Bihar Sharif                ;Telangana        ;2022-06-01;821183;Resigned
10;Zayyan De           ;Male  ;1965-08-25;kallatriveni@example.org     ;9806351396;HR        ;Analyst  ;Kumbakonam                  ;Bihar            ;2024-05-21;705907;Active  
11;Yamini Tata         ;Female;1966-03-30;neelima40@example.org        ;915925634168;IT        ;Engineer ;Deoghar                     ;Meghalaya        ;2025-08-07;548348;Active  
12;Dhruv Baria         ;Female;1970-11-01;omkaarganesan@example.net    ;914598455514;Admin     ;Manager  ;Mahbubnagar                 ;Tripura          ;2025-03-24;963898;Resigned
13;Hemang Nagi         ;Male  ;1967-09-26;ybora@example.org            ;915199619839;Operations;Analyst  ;Shimoga                     ;Kerala           ;2023-08-02;1175569;Resigned
14;Tanvi Malhotra      ;Female;1972-05-27;merchantadvik@example.net    ;161033962;Operations;Engineer ;Hospet                      ;Goa              ;2023-02-15;302545;Resigned
15;Harshil Saran       ;Male  ;1990-10-25;zehaan75@example.org         ;915000495765;Finance   ;Engineer ;Rajkot                      ;Assam            ;2023-10-08;1086692;Resigned
