transaction_id,employee_id,transaction_type,amount,payment_mode,bank_name,account_number,transaction_date,transaction_status
1,1,Reimbursement,16895,UPI,IndusInd Bank,QBKB4731922302288,2025-04-13,Success
2,1,Reimbursement,58640,UPI,Nainital Bank,LKHV8076675511290,2025-03-13,Pending
3,1,Claim_Payout,46803,Cash,,,2025-01-01,Success
4,1,Claim_Payout,25335,Bank Transfer,Bank of Baroda,NMST7275443902339,2024-03-03,Success
5,2,Reimbursement,45602,Bank Transfer,Dhanlaxmi Bank,PTKH5650472438828,2023-03-21,Failed
6,2,Reimbursement,118945,Cash,,,2024-01-22,Failed
7,2,Salary,60819,UPI,Bank of Maharashtra,BZQM7963496110430,2023-12-05,Failed
8,3,Reimbursement,89369,Cash,,,2023-06-08,Pending
9,3,Reimbursement,58950,Cash,,,2025-06-14,Pending
10,3,Claim_Payout,49312,Cash,,,2023-07-26,Success
11,4,Reimbursement,60179,Bank Transfer,Punjab National Bank,DYBU7160091429172,2025-03-26,Failed
12,4,Reimbursement,91729,UPI,HDFC Bank,YITT4766773026584,2025-11-19,Failed
13,4,Claim_Payout,72129,UPI,Federal Bank,VNZR9814303765639,2023-08-09,Success
14,4,Salary,122880,Cash,,,2023-06-11,Failed
15,5,Reimbursement,128798,Cash,,,2023-12-23,Success
16,5,Reimbursement,90388,Bank Transfer,ICICI Bank,MOCE0852062472373,2025-10-16,Failed
17,5,Claim_Payout,30877,Bank Transfer,Bank of India,UKYX7977024630641,2024-02-11,Pending
18,6,Claim_Payout,29345,UPI,IndusInd Bank,MFTC3430788041111,2025-11-09,Success
19,6,Claim_Payout,71177,Bank Transfer,Canara Bank,BKVX6031969572059,2026-01-04,Failed
20,6,Salary,81328,UPI,RBL Bank,JPXO9267060227985,2025-04-09,Pending
21,7,Salary,116796,UPI,Nainital Bank,FKJH9658473193903,2023-08-11,Failed
22,7,Salary,78276,Cash,,,2026-01-21,Failed
23,7,Claim_Payout,112790,Bank Transfer,UCO Bank,KRRI2230032407707,2024-07-08,Failed
24,8,Salary,136047,Cash,,,2024-09-11,Success
25,8,Claim_Payout,65794,Cash,,,2025-04-29,Success
26,8,Claim_Payout,131292,UPI,Jammu & Kashmir Bank,GJSZ5278626722434,2024-12-09,Failed
27,8,Claim_Payout,26511,Bank Transfer,Bandhan Bank,DGZZ0599328678807,2024-02-06,Pending
28,9,Reimbursement,61585,Cash,,,2025-02-19,Failed
29,9,Reimbursement,79791,UPI,Karur Vysya Bank,KXAI5064777292063,2023-06-10,Success
30,9,Claim_Payout,124244,UPI,Union Bank of India,GORJ9527786242233,2023-02-26,Pending
31,10,Salary,64255,Cash,,,2024-09-13,Failed
32,10,Reimbursement,118920,UPI,Indian Bank,YOXJ6669935723065,2024-02-13,Failed
33,11,Salary,84310,UPI,UCO Bank,QBSO1214257525785,2023-04-13,Failed
34,11,Claim_Payout,110396,UPI,Bandhan Bank,TRVE7923540198665,2023-12-10,Failed
35,11,Salary,53053,UPI,Dhanlaxmi Bank,UXAT5042345055202,2023-07-23,Failed
36,12,Claim_Payout,47702,Bank Transfer,South Indian Bank,HRVN1802346837958,2024-01-09,Failed
37,12,Claim_Payout,48345,Bank Transfer,IDBI Bank,PAOT7327265434796,2023-04-28,Success
38,12,Claim_Payout,89156,UPI,DCB Bank,ZBYL6651844973775,2024-09-23,Failed
39,12,Claim_Payout,121923,Bank Transfer,City Union Bank,SCAR0999327279642,2024-09-01,Failed
40,13,Salary,78486,UPI,DCB Bank,TADS6676614705946,2023-12-19,Pending
41,13,Claim_Payout,14174,Cash,,,2024-03-08,Pending
42,13,Salary,77762,UPI,Karnataka Bank,RMOR8048804107128,2023-11-30,Pending
43,14,Reimbursement,62125,UPI,ICICI Bank,LZJZ3482648917248,2023-05-28,Pending
44,14,Claim_Payout,89627,Bank Transfer,Bandhan Bank,IURI5266807107038,2024-04-01,Success
45,14,Claim_Payout,148946,Cash,,,2023-08-15,Failed
46,15,Claim_Payout,82864,UPI,Indian Overseas Bank,WBDP8238439555206,2025-01-23,Pending
47,15,Claim_Payout,67516,UPI,Union Bank of India,YMXG9918773099652,2024-01-24,Failed
48,16,Reimbursement,45288,Cash,,,2023-03-14,Failed
49,16,Salary,126429,Bank Transfer,Dhanlaxmi Bank,FAUR2601496734559,2025-10-08,Pending
50,17,Claim_Payout,82491,UPI,Kotak Mahindra Bank,PVHH6316013398086,2024-04-09,Success
51,17,Claim_Payout,15297,Cash,,,2024-06-17,Success
52,18,Claim_Payout,94204,Cash,,,2025-08-03,Pending
53,18,Claim_Payout,28566,Bank Transfer,CSB Bank,GGHX6929983839060,2023-09-26,Success
54,19,Reimbursement,23501,UPI,Punjab National Bank,KABU3791096985354,2024-12-16,Pending
55,19,Salary,31611,Bank Transfer,RBL Bank,TIRZ3629672279054,2025-01-10,Failed
56,20,Reimbursement,129476,Cash,,,2024-10-05,Success
57,20,Claim_Payout,37290,Bank Transfer,Bandhan Bank,OZGB7402953222937,2025-02-26,Success
58,20,Claim_Payout,46852,Cash,,,2025-02-14,Failed
59,20,Salary,46460,UPI,Kotak Mahindra Bank,WYJC5724698372172,2025-05-28,Success
60,21,Salary,23471,UPI,ICICI Bank,AHIA1445055696262,2024-10-11,Failed
61,21,Salary,107292,Cash,,,2025-09-24,Failed
62,21,Reimbursement,83863,Cash,,,2023-11-20,Failed
63,22,Reimbursement,93268,Bank Transfer,Kotak Mahindra Bank,MFQZ4255648869593,2024-03-27,Pending
64,22,Salary,57211,Cash,,,2025-09-09,Success
65,22,Reimbursement,42602,Cash,,,2025-01-13,Pending
66,23,Reimbursement,149765,UPI,Indian Bank,PXAH2904662113941,2024-09-20,Pending
67,23,Reimbursement,149854,UPI,Canara Bank,WPIO9299146734054,2024-09-21,Success
68,23,Salary,51317,Cash,,,2024-07-13,Pending
69,23,Claim_Payout,74708,UPI,South Indian Bank,ALDF5151962695182,2023-09-08,Pending
70,24,Claim_Payout,91564,UPI,Central Bank of India,FWZK7788118776756,2025-11-06,Pending
71,24,Salary,75657,Cash,,,2024-10-17,Failed
72,24,Claim_Payout,68935,Bank Transfer,Axis Bank,IENN0022863088181,2023-09-07,Failed
73,25,Reimbursement,122964,Bank Transfer,Indian Overseas Bank,NIGN2722614595401,2025-02-11,Failed
74,25,Salary,68695,Cash,,,2024-09-29,Failed
75,26,Claim_Payout,62253,UPI,Federal Bank,SAEQ2838173156452,2025-08-18,Pending
76,26,Salary,55366,Bank Transfer,IndusInd Bank,ATYE9272878473695,2025-03-29,Success
77,27,Reimbursement,120956,UPI,ICICI Bank,BCYE4225412256819,2024-07-27,Pending
78,27,Salary,14975,Cash,,,2024-09-04,Pending
79,28,Reimbursement,88361,Bank Transfer,DCB Bank,SZOA7274335276397,2025-03-10,Success
80,28,Claim_Payout,20327,Bank Transfer,ICICI Bank,DOJX2646771940279,2026-01-07,Pending
81,29,Salary,107034,Bank Transfer,Karnataka Bank,REAH0641675850620,2024-05-26,Pending
82,29,Salary,67476,Cash,,,2023-09-08,Pending
83,29,Reimbursement,131489,Cash,,,2025-11-03,Success
84,29,Salary,84868,Bank Transfer,Karur Vysya Bank,AXDE5524415537436,2023-07-07,Success
85,30,Reimbursement,22055,Cash,,,2025-05-15,Pending
86,30,Reimbursement,107288,Cash,,,2023-03-27,Success
87,30,Salary,128918,Cash,,,2024-07-26,Success
88,31,Claim_Payout,115323,Bank Transfer,UCO Bank,IUTO2076098290404,2023-09-18,Pending
89,31,Reimbursement,11674,Bank Transfer,Canara Bank,PTPK2577738782126,2025-05-12,Pending
90,31,Reimbursement,142366,UPI,Federal Bank,OFMW4430881924703,2025-03-09,Failed
91,31,Salary,144896,Bank Transfer,Punjab National Bank,PQGL5058017312401,2025-03-19,Success
92,32,Salary,131434,UPI,Bank of Maharashtra,QGQV7113708484653,2023-09-17,Success
93,32,Salary,105772,UPI,Indian Overseas Bank,IFZP8040271935898,2025-04-20,Success
94,33,Claim_Payout,149831,UPI,CSB Bank,YBKK3279419215139,2024-10-01,Success
95,33,Salary,117451,UPI,Kotak Mahindra Bank,ABMN0561973550514,2025-08-15,Failed
96,33,Salary,75335,Bank Transfer,Bank of Maharashtra,HZOS7982788311107,2025-01-10,Failed
97,34,Reimbursement,37775,Bank Transfer,Bank of Baroda,YAZS2140206022070,2023-12-12,Success
